VC Firm name,Website,Contact,Global HQ,Countries of investment,Stage of investment
Hummingbird Ventures,https://www.hummingbird.vc/,Vist website,"London, United Kingdom","UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
IGC Fund,https://igcap.com/,Vist website,"Los Angeles, USA","USA,UAE,Canada","2. Prototype,3. Early Revenue,4. Scaling"
Mubadala Ventures,https://www.mubadala.com/en/what-we-do/capital/ventures,Vist website,"Abu Dhabi, Abu Dhabi, United Arab Emirates","USA,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Outliers Venture Capital,https://www.outliers.vc/,Vist website,2443 Fillmore St #380-8875 San Francisco CA 94115 United States,"USA,Egypt,UAE,Saudi Arabia","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling"
Plug & Play Ventures,https://www.plugandplaytechcenter.com/ventures/,Vist website,"440 N. Wolfe Rd, Sunnyvale, CA 94085, US","Kenya,Nigeria,Brazil,Canada,Colombia,Mexico,USA,China,Hong Kong,India,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,South Korea,Taiwan,Thailand,Denmark,France,Germany,Ireland,Spain,Switzerland,Egypt,Israel,Morocco,UAE,Australia","2. Prototype,3. Early Revenue,1. Idea or Patent"
Spacecadet Ventures,https://spacecadet.ventures/,Vist website,USA,"USA,Canada,Mexico,Argentina,Colombia,India,UK,UAE,Germany,Australia,Brazil","3. Early Revenue,4. Scaling"
Teknasyon,https://teknasyon.com/en/investments/,Vist website,"Buyukdere Caddesi 245, Istanbul, Istanbul 34485, TR","Romania,Ukraine,Egypt,UAE,Bahrain,Estonia,Portugal,Turkey,Russia,Belarus,Poland,Czech Republic,Hungary","2. Prototype,3. Early Revenue,4. Scaling"
United Investors,https://unitedinvestors.ru/,Vist website,"Russia, Moscow","Afghanistan,Albania,Andorra,Algeria,Antigua and Barbuda,Argentina,Armenia,Angola,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Holy See,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lesotho,Lebanon,Liberia,Lithuania,Liechtenstein,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Micronesia,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe",3. Early Revenue
Unpopular Ventures,https://unpopular.vc/,Vist website,"90 Gold St, San Francisco, CA 94133, United States","Algeria,Australia,Vietnam,USA,Sweden,UK,Ukraine,Austria,Brazil,Belgium,Bangladesh,Canada,China,Afghanistan,Albania,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
Valia Ventures,https://www.valia.vc/,Vist website,"595 Pacific Avenue Jackson Square San Francisco, CA 94133","USA,UK,UAE,Canada,France,Nigeria,Kenya","2. Prototype,3. Early Revenue,1. Idea or Patent"
GPI Global Partners Investments,https://www.gpiuk.com/,Vist website,"E16 2DQ, London, UK","Algeria,Argentina,Australia,Austria,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Denmark,Egypt,Estonia,Finland,Germany,Greece,Hong Kong,India,Ireland,Japan,Italy,Kuwait,Lebanon,Liechtenstein,Luxembourg,Mexico,Morocco,Netherlands,New Zealand,Norway,Oman,Pakistan,Palestine,Philippines,Portugal,Saudi Arabia,Singapore,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,UK,Ukraine,UAE,USA,Vietnam","3. Early Revenue,4. Scaling,5. Growth"
Unrest,https://www.unrest.world,Vist website,"154 Clerkenwell Rd, London EC1R 5AB","Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Sant Kitts and Nevis,Sant Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,USA,Uruguay,Venezuela,Afghanistan,Azerbaijan,Bangladesh,Bhutan,Cambodia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Laos,Malaysia,Maldives,Mongolia,Myanmar,Nepal,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Timor-Leste,Turkmenistan,Uzbekistan,Vietnam,Albania,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Algeria,Bahrain,Djibouti,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Lybia,Mauritania,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Syria,Tunisia,Turkey,UAE,Yemen,Australia,Fiji,Kiribati,Marshall Islands,Micronesia,New Zealand,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu","5. Growth,4. Scaling,6. Pre-IPO"
Accion Venture Lab,https://www.accion.org/how-we-work/invest/accion-venture-lab,Vist website,"1101 15th St., NW, Suite 400, Washington, D.C., 20005, US","Argentina,Brazil,USA,UAE,UK,Poland,Colombia,Chile,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Peru,South Africa,Philippines","3. Early Revenue,4. Scaling"
Remote First Capital,https://www.remotefirstcapital.com/,Vist website,"San Francisco, USA","Afghanistan,Albania,Algeria,Andorra,Angola,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Azerbaijan,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Belgium,Bulgaria,Burundi,Cabo Verde,Cambodia,Burkina Faso,Cameroon,Canada,Central African Republic,Chad,China,Chile,Comoros,Congo (Congo-Brazzaville),Colombia,Costa Rica,Croatia,Cuba,Côte d'Ivoire,Cyprus,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Czech Republic,Holy See,Antigua and Barbuda,Argentina,Hungary,Hong Kong,Iceland,Indonesia,India,Iraq,Iran,Ireland,Italy,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Japan,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lesotho,Liberia,Liechtenstein,Lithuania,Lebanon,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Malta,Mali,Marshall Islands,Mauritius,Mauritania,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Monaco,New Zealand,Netherlands,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palau,North Macedonia,Palestine,Panama,Paraguay,Peru,Philippines,Papua New Guinea,Poland,Qatar,Romania,Russia,Rwanda,Portugal,Samoa,Saint Vincent and the Grenadines,San Marino,Sant Lucia,Sant Kitts and Nevis,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Sierra Leone,Slovenia,Slovakia,Somalia,Solomon Islands,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Suriname,Sudan,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor-Leste,Taiwan,Togo,Tonga,Tunisia,Trinidad and Tobago,Turkey,Tuvalu,Turkmenistan,Uganda,UK,UAE,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Vietnam,Venezuela,Yemen,Zambia,Zimbabwe,Armenia,Australia,Austria,Honduras,Haiti","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Verso Capital,https://www.versocapital.co/,Vist website,"28 Boulevard Royal, L 2449 Luxembourg","USA,UK,Canada,Luxembourg,Liechtenstein,Monaco,Switzerland,Singapore,Hong Kong,France,UAE,Saudi Arabia","1. Idea or Patent,2. Prototype,3. Early Revenue"
Startup-O,https://www.startup-o.com/,Vist website,"01-05, SULTAN LINK, 57, MOHAMED SULTAN ROAD,, SINGAPORE, Singapore 238997, SG","Australia,Canada,India,Malaysia,Singapore,Vietnam,Thailand,USA,UK,UAE,Philippines,New Zealand,Luxembourg,Indonesia","3. Early Revenue,2. Prototype,4. Scaling,1. Idea or Patent"
A/O PropTech,https://www.aoproptech.com/,Vist website,"Floor 1, 32 Wigmore Street, London, W1U 2RP","Canada,USA,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK,Israel,UAE",3. Early Revenue
Deutsche Telekom Hubraum Fund,http://www.hubraum.com/investment,Vist website,"Winterfeldtstr. 21, 10781 Berlin, Germany","Austria,Australia,Belgium,Bosnia-H,Brazil,Canada,Albania,Andorra,Argentina,Armenia,Azerbaijan,Bulgaria,China,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Kazakhstan,Kyrgyzstan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Moldova,Monaco,Montenegro,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,UK,Ukraine,UAE,USA","3. Early Revenue,4. Scaling,5. Growth"
Precursor Ventures,https://precursorvc.com/,Vist website,"665 3rd Street, #150, San Francisco, CA US","USA,Mexico,Nigeria,Kenya,Canada,UAE","4. Scaling,5. Growth,6. Pre-IPO,3. Early Revenue"
Village Global,https://www.villageglobal.vc/,Vist website,"San Francisco, CA","Nigeria,South Africa,Argentina,Brazil,Canada,Chile,Colombia,Mexico,Peru,USA,India,Indonesia,Japan,Pakistan,Singapore,Thailand,France,Germany,Italy,Netherlands,Norway,Portugal,Spain,Sweden,UK,Ukraine,Israel,Turkey,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
Maniv Mobility,https://www.maniv.com/,Vist website,"Derech Menachem Begin 144, Tel Aviv-Yafo","Brazil,Canada,Mexico,USA,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,UK,Israel,UAE,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue"
Houghton Street Ventures,https://houghtonstreet.com,Vist website,"LSE Library, 10 Portugal St, Holborn, London WC2A 2HD, United Kingdom","UK,USA,India,Germany,France,Brazil,Mexico,Canada,Colombia,Singapore,Hong Kong,Morocco,Egypt,Spain,Portugal,China,Austria,Australia,Indonesia,Ireland,Italy,Israel,Malaysia,Norway,Netherlands,Sweden,UAE,Turkey,Switzerland","3. Early Revenue,2. Prototype,1. Idea or Patent"
E²JDJ,https://www.e2jdj.com,Vist website,"New Orleans, LA, USA","USA,UAE,China,Singapore,Japan,Germany,UK,Spain,Israel,Netherlands,Australia,Brazil,Canada,France,Italy,Mexico",3. Early Revenue
Foundamental,https://foundamental.com/,Vist website,"Budapester str 5, 10787, Berlin","Canada,USA,India,Indonesia,Philippines,Singapore,Vietnam,Austria,Belgium,Czech Republic,Denmark,Finland,France,Germany,Italy,Latvia,Luxembourg,Norway,Poland,Portugal,Spain,UK,Egypt,Israel,UAE,Australia","3. Early Revenue,4. Scaling,5. Growth"
ReGen Ventures,https://regen.vc/,Vist website,"Byron Bay, NSW, Australia","Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Ecuador,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nauru,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Oman,Palestine,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Taiwan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue"
Super Capital VC,https://www.supercapital.vc/,Vist website,Paris,"Angola,Botswana,Cameroon,Central African Republic,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Kenya,Nigeria,Senegal,South Africa,Tanzania,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Mexico,Paraguay,Peru,USA,Uruguay,Hong Kong,India,Indonesia,Japan,Singapore,South Korea,Thailand,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Malta,Monaco,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden,Switzerland,UK,Algeria,Israel,Morocco,Tunisia,Turkey,UAE,Australia,Fiji,New Zealand",3. Early Revenue
Verso X,https://www.versoholdings.com/versox,Vist website,British Virgin Islands,"Armenia,Australia,Argentina,Bahrain,Bahamas,Belgium,Brazil,Canada,China,Colombia,Côte d'Ivoire,Cyprus,Germany,Denmark,Egypt,Greece,France,Hong Kong,Finland,India,Iceland,Israel,Luxembourg,Indonesia,Italy,Kuwait,Iran,Lebanon,Qatar,Malaysia,Kazakhstan,Japan,Kyrgyzstan,Monaco,Saudi Arabia,Vietnam,USA,UK,Ukraine,UAE,Turkey,Angola,Thailand,Syria,Switzerland,Sweden,South Africa,South Korea,Taiwan,Singapore,Russia,Portugal,Liechtenstein,Oman,Mexico",2. Prototype
Systema VC,https://systema.vc,Vist website,London,"Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,Tanzania,Togo,Uganda,Zambia,Zimbabwe,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Sant Kitts and Nevis,Sant Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Uruguay,Venezuela,Afghanistan,Azerbaijan,Bangladesh,Bhutan,Cambodia,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Laos,Malaysia,Maldives,Mongolia,Myanmar,Nepal,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Timor-Leste,Turkmenistan,Uzbekistan,Vietnam,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,Algeria,Bahrain,Djibouti,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Lybia,Mauritania,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Sudan,Syria,Tunisia,Turkey,UAE,Yemen,Australia,Fiji,Kiribati,Marshall Islands,Micronesia,New Zealand,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu","1. Idea or Patent,2. Prototype,3. Early Revenue"
VentureFriends,https://venturefriends.vc/,Vist website,"Athens, Greece 15125, GR","Germany,Spain,Italy,Poland,Greece,UK,Finland,Portugal,France,Sweden,Norway,UAE,Saudi Arabia,Egypt,Mexico,Brazil,Colombia,Peru,Chile,Belgium,Austria,Netherlands,Ukraine,Bulgaria,Romania,Czech Republic,Switzerland","3. Early Revenue,4. Scaling"
